,chemical name inn,sccs opinions,chemical iupac name,identified ingredient substance,cmr
863,"Gas oils (petroleum), acid-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
864,"Distillates (petroleum), acid-treated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
865,"Distillates (petroleum), acid-treated light, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
866,"Gas oils (petroleum), chemically neutralized, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
867,"Distillates (petroleum), chemically neutralised middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
868,"Distillates (petroleum), clay-treated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
869,"Distillates (petroleum), hydrotreated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
870,"Gas oils (petroleum), hydrodesulfurized, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
871,"Distillates (petroleum), hydrodesulfurised middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
872,"Distillates (petroleum), catalytic reformer fractionator residue, high-boiling, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
873,"Distillates (petroleum), catalytic reformer fractionator residue, intermediate-boiling, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
874,"Distillates (petroleum), catalytic reformer fractionator residue, low-boiling, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
875,"Alkanes, C12-26-branched and linear, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
876,"Distillates (petroleum), highly refined middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
877,"Distillates (petroleum), catalytic reformer, heavy arom. conc., except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
878,"Gas oils, paraffinic, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
879,"Naphtha (petroleum), solvent-refined hydrodesulfurised heavy, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
880,"Hydrocarbons, C16-20, hydrotreated middle distillate, distn. Lights, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
881,"Hydrocarbons, C12-20, hydrotreated paraffinic, distn. lights, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
882,"Hydrocarbons, C11-17, solvent-extd. light naphthenic, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
883,"Gas oils, hydrotreated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
884,"Distillates (petroleum), carbon-treated light paraffinic, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
885,"Distillates (petroleum), intermediate paraffinic, carbon-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
886,"Distillates (petroleum), intermediate paraffinic, clay-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
887,"Lubricating greases, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
888,"Slack wax (petroleum), except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
889,"Slack wax (petroleum), acid-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
890,"Slack wax (petroleum), clay-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
891,"Slack wax (petroleum), hydrotreated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
892,"Slack wax (petroleum), low-melting, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
893,"Slack wax (petroleum), low-melting, hydrotreated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
894,"Slack wax (petroleum), low-melting, carbon-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
895,"Slack wax (petroleum), low-melting, clay-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
896,"Slack wax (petroleum), low-melting, silicic acid-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
897,"Slack wax (petroleum), carbon-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
898,"Petrolatum, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,RED PETROLATUMPETROLATUM,Carcinogenic Cat. 1B()
899,"Petrolatum (petroleum), oxidized, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
900,"Petrolatum (petroleum), alumina-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
901,"Petrolatum (petroleum), hydrotreated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
902,"Petrolatum (petroleum), carbon-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
903,"Petrolatum (petroleum), silicic acid-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
904,"Petrolatum (petroleum), clay-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
905,"Distillates (petroleum), light catalytic cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
906,"Distillates (petroleum), intermediate catalytic cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
907,"Distillates (petroleum), light thermal cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
908,"Distillates (petroleum), hydrodesulfurised light catalytic cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
909,"Distillates (petroleum), light steam-cracked naphtha","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
910,"Distillates (petroleum), cracked steam-cracked petroleum distillates","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
911,"Gas oils (petroleum), steam-cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
912,"Distillates (petroleum), hydrodesulfurised thermal cracked middle","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
913,"Gas oils (petroleum), thermal-cracked, hydrodesulfurized","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
914,"Residues (petroleum), hydrogenated steam-cracked naphtha","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
915,"Residues (petroleum), steam-cracked naphtha distn.","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
916,"Distillates (petroleum), light catalytic cracked, thermally degraded","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
917,"Residues (petroleum), steam-cracked heat-soaked naphtha","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
918,"Gas oils (petroleum), light vacuum, thermal-cracked hydrodesulfurized","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
919,"Distillates (petroleum), hydrodesulfurized middle coker","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
920,"Distillates (petroleum), heavy steam-cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
921,"Residues (petroleum), atm. Tower","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
922,"Gas oils (petroleum), heavy vacuum","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
923,"Distillates (petroleum), heavy catalytic cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
924,"Clarified oils (petroleum), catalytic cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
925,"Residues (petroleum), catalytic reformer fractionator","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
926,"Residues (petroleum), hydrocracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
927,"Residues (petroleum), thermal cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
928,"Distillates (petroleum), heavy thermal cracked","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC",,,Carcinogenic Cat. 1B()
